Starting IRSC sequence at 03:47:00Z on MJD 57591

RUN PARAMETERS FOR THIS RUN
 CX =  161  Center of camera in image, x
 CY =  123  Center of camera in image, y
 RC =   15  Outer radius of image of camera
 RO =  100  Outer radius of mask region
 RE =  135  Outer 'useful' radius
 RM =  145  Radius of mirror in image 
 NF =  256  Number of frames avgd per exposure
 SL =  127  Sky level in gifs
NAV =   16  Number of exposures avgd for sky subtr
IVL =   30  Interval in seconds between frames
SHF =    3  Bits to downshift raw images for processing


raw fits file dtb  dte  sky	sig
cR091800.fit   0     5   553  5.31
cR091830.fit   0     4   552  4.43
cR091900.fit   0     5   552  5.44
cR091930.fit   0     5   552  5.12
cR092000.fit   0     4   553  5.40
cR092030.fit   0     4   553  5.40
cR092100.fit   0     5   552  5.20
cR092130.fit   0     5   552  5.39
cR092200.fit   0     4   552  5.38
cR092230.fit   0     5   552  5.05
cR092300.fit   0     5   552  5.29
cR092330.fit   0     4   552  5.24
cR092400.fit   0     4   552  4.87
cR092430.fit   0     5   553  5.17
cR092500.fit   0     5   552  4.96
cR092530.fit   0     4   552  4.72
cR092600.fit   0     5   552  5.05
cR092630.fit   0     4   552  5.03
cR092700.fit   0     5   552  4.69
cR092730.fit   0     5   552  5.07
cR092800.fit   0     5   552  4.90
cR092830.fit   0     4   553  4.48
cR092900.fit   0     5   552  5.04
cR092930.fit   0     4   553  4.80
cR093000.fit   0     5   553  4.29
cR093030.fit   0     4   553  4.83
cR093100.fit   0     5   553  4.72
cR093130.fit   0     4   553  4.19
cR093200.fit   0     4   552  4.92
cR093230.fit   0     5   551  4.95
cR093300.fit   0     5   551  4.42
cR093330.fit   0     4   550  5.24
cR093400.fit   0     4   550  4.93
cR093430.fit   0     5   550  4.32
cR093500.fit   0     5   549  5.07
cR093530.fit   0     4   548  5.20
cR093600.fit   0     5   549  4.09
cR093630.fit   0     5   549  5.21
cR093700.fit   0     4   548  4.89
cR093730.fit   0     5   548  4.49
cR093800.fit   0     4   547  5.20
